Aspect,BSI,Elevation,NBR,NDMI,NDVI,NDWI,SAVI,SinAspect,Slope,PA,POINT_X,POINT_Y,PcentBgrnd,PcentOther,PointID,Class,Class_Number
310.59528,9315,1162,-0.147002551,-0.270421383,0.119481064,-0.271387833,1.119481063,-0.759324962,39.384014,1,-112.569979,36.387625,90,10,1041,Bareground,1
5.070513,8275,1142,-0.094089674,-0.216164585,0.1105559,-0.277910877,1.110555903,0.088381673,24.467352,1,-112.569984,36.387804,90,10,1040,Bareground,1
319.7895,9353,1140,-0.13107327,-0.254223652,0.10291493,-0.247924613,1.102914932,-0.645597786,56.76618,1,-112.570652,36.387079,90,10,1044,Bareground,1
319.7895,9811,1140,-0.094650206,-0.228650138,0.09530583,-0.24093473,1.095305832,-0.645597786,56.76618,1,-112.570424,36.3871,90,10,1043,Bareground,1
340.45963,8737,1129,-0.120650407,-0.235402234,0.10887841,-0.244362632,1.108878409,-0.33447103,40.08652,1,-112.570875,36.38707,90,10,1045,Bareground,1
357.36584,9287,1126,-0.087650008,-0.214593958,0.103638366,-0.268158784,1.103638368,-0.045958488,23.630922,1,-112.571103,36.386893,90,10,1046,Bareground,1
308.86163,6665,2587,0.034468524,-0.141633841,0.270147,-0.356427605,1.270146984,-0.778663474,5.8919835,1,-112.189517,36.313018,90,10,717,Bareground,1
270,7067,2588,-0.035951544,-0.177803699,0.24564505,-0.318193962,1.245645039,-1,4.594225,1,-112.189506,36.312842,90,10,718,Bareground,1
148.18086,7159,2589,-0.153451677,-0.250436605,0.2877288,-0.352663095,1.287728773,0.527239642,6.520877,1,-112.150717,36.310788,90,10,706,Bareground,1
180,6117,2496,0.195467422,-0.017462165,0.2168898,-0.290519878,1.216889804,1.22E-16,3.7047918,1,-112.103036,36.262654,90,10,705,Bareground,1
156.45338,9179,1641,-0.08099554,-0.17934224,0.107873745,-0.212834631,1.107873743,0.399495053,33.158527,1,-111.952639,36.268123,90,10,831,Bareground,1
150.44688,9701,1672,-0.074273116,-0.181729598,0.099688984,-0.219459067,1.099688983,0.493230208,33.076515,1,-111.952668,36.268489,90,10,830,Bareground,1
